user_id,age,gender,education_level,employment_status,job_title,monthly_income_usd,monthly_expenses_usd,savings_usd,loan_status,loan_type,loan_amount_usd,loan_term_months,monthly_emi_usd,loan_interest_rate_pct,debt_to_income_ratio,credit_score,savings_to_income_ratio,region,record_date
U00001,56,Female,High School,Self-employed,Salesperson,3532,1183,367655,No,Personal,0,0,0,0,0,430,9,Other,1/9/2024
U00002,19,Female,PhD,Employed,Salesperson,3532,2368,260869,Yes,Education,146323,36,4954,13,1,543,6,North America,2/13/2022
U00003,20,Female,Master,Employed,Teacher,2799,1004,230921,No,Personal,0,0,0,0,0,754,7,Africa,5/12/2022
U00004,25,Male,PhD,Employed,Manager,5895,4440,304816,Yes,Business,93242,24,4927,24,1,461,4,Europe,10/2/2023
U00005,53,Female,PhD,Employed,Student,5129,4138,461509,No,Personal,0,0,0,0,0,516,8,Africa,8/7/2021
U00006,62,Male,Master,Employed,Student,4051,2244,194901,Yes,Car,407915,12,38220,22,9,718,4,North America,2/12/2025
U00007,22,Female,Master,Student,Accountant,984,333,37523,Yes,Car,296058,180,6773,27,7,761,3,Asia,6/1/2024
U00008,18,Female,Bachelor,Employed,Accountant,6199,4503,89108,No,Personal,0,0,0,0,0,540,1,Africa,3/17/2024
U00009,49,Female,High School,Self-employed,Doctor,4272,3062,451924,No,Personal,0,0,0,0,0,327,9,Africa,5/2/2023
U00010,61,Male,Master,Employed,Student,5216,4369,203321,Yes,Education,324197,360,6782,25,1,558,3,Asia,11/23/2024
U00011,26,Female,Master,Employed,Manager,3677,2248,311547,Yes,Education,127704,240,1818,16,0,412,7,Other,9/2/2022
U00012,66,Other,Bachelor,Student,Unemployed,4808,1538,202875,No,Personal,0,0,0,0,0,429,4,Other,2/21/2025
U00013,61,Male,Bachelor,Employed,Student,2449,1805,109957,No,Personal,0,0,0,0,0,497,4,Asia,9/7/2024
U00014,65,Female,High School,Employed,Driver,5546,3630,453101,Yes,Car,404941,60,10823,20,2,788,7,North America,1/15/2022
U00015,57,Male,PhD,Employed,Accountant,3287,2287,323018,No,Personal,0,0,0,0,0,301,8,North America,6/4/2024
U00016,65,Other,Bachelor,Unemployed,Student,5112,2574,218222,No,Personal,0,0,0,0,0,430,4,Africa,11/3/2021
U00017,41,Male,Master,Unemployed,Engineer,4586,1390,93117,No,Personal,0,0,0,0,0,462,2,Other,11/21/2023
U00018,58,Male,High School,Employed,Doctor,2571,1337,230408,No,Personal,0,0,0,0,0,332,7,Africa,9/18/2021
U00019,68,Female,Bachelor,Employed,Unemployed,5757,3907,550538,No,Personal,0,0,0,0,0,583,8,North America,2/14/2022
